id|N|Y
503|0.34402|0.65598
504|0.75734|0.24266
505|0.76325|0.23675
506|0.7829|0.2171
507|0.78443|0.21557
508|0.77529|0.22471
509|0.78263|0.21737
510|0.76|0.24
511|0.73558|0.26442
512|0.77672|0.22328
513|0.71504|0.28496
514|0.25704|0.74296
515|0.5906|0.4094
516|0.5906|0.4094
517|0.7359|0.2641
518|0.76951|0.23049
519|0.63154|0.36846
520|0.76951|0.23049
521|0.76639|0.23361
522|0.36272|0.63728
523|0.76212|0.23788
524|0.77067|0.22933
525|0.78143|0.21857
526|0.76884|0.23116
527|0.76463|0.23537
528|0.77359|0.22641
529|0.79158|0.20842
530|0.38435|0.61565
531|0.75734|0.24266
532|0.78878|0.21122
533|0.78844|0.21156
534|0.32683|0.67317
535|0.3531|0.6469
536|0.66348|0.33652
537|0.35957|0.64043
538|0.76023|0.23977
539|0.76183|0.23817
540|0.76964|0.23036
541|0.27726|0.72274
542|0.27726|0.72274
543|0.31705|0.68295
544|0.75955|0.24045
545|0.73651|0.26349
546|0.32914|0.67086
547|0.37195|0.62805
548|0.76963|0.23037
549|0.59211|0.40789
550|0.59211|0.40789
551|0.33045|0.66955
552|0.38675|0.61325
553|0.76333|0.23667
554|0.36409|0.63591
555|0.76841|0.23159
556|0.76841|0.23159
557|0.74699|0.25301
558|0.32011|0.67989
559|0.3399|0.6601
560|0.28845|0.71155
561|0.36272|0.63728
562|0.78717|0.21283
563|0.35654|0.64346
564|0.75955|0.24045
565|0.38071|0.61929
566|0.76951|0.23049
567|0.78302|0.21698
568|0.76885|0.23115
569|0.764|0.236
570|0.6995|0.3005
571|0.38545|0.61455
572|0.77528|0.22472
573|0.36409|0.63591
574|0.36409|0.63591
575|0.75026|0.24974
576|0.34159|0.65841
577|0.76325|0.23675
578|0.32336|0.67664
579|0.74528|0.25472
580|0.77463|0.22537
581|0.31875|0.68125
582|0.79158|0.20842
583|0.29009|0.70991
584|0.32275|0.67725
585|0.35223|0.64777
586|0.74641|0.25359
587|0.32239|0.67761
588|0.59211|0.40789
589|0.27304|0.72696
590|0.32239|0.67761
591|0.24879|0.75121
592|0.24879|0.75121
593|0.72029|0.27971
594|0.28278|0.71722
595|0.782|0.218
596|0.79055|0.20945
597|0.75876999999999994|0.24123
598|0.78506|0.21494
599|0.38274|0.61726
600|0.369|0.631
601|0.78667|0.21333
602|0.70941|0.29059
603|0.60315|0.39685
604|0.48216|0.51784
605|0.48709|0.51291
606|0.76855|0.23145
607|0.77588|0.22412
608|0.47394|0.52606
609|0.7686|0.2314
610|0.76885|0.23115
611|0.54475|0.45525
612|0.61516|0.38484
613|0.49891|0.50109
614|0.75319|0.24681
615|0.77003|0.22997
616|0.77588|0.22412
617|0.77344|0.22656
618|0.76965|0.23035
619|0.75841|0.24159
620|0.75558|0.24442
621|0.73651|0.26349
622|0.5397|0.4603
623|0.71475|0.28525
624|0.70745|0.29255
625|0.70745|0.29255
626|0.51109|0.48891
627|0.54269|0.45731
628|0.70868|0.29132
629|0.71508|0.28492
630|0.75147|0.24853
631|0.77344|0.22656
632|0.76965|0.23035
633|0.74536|0.25464
634|0.77703|0.22297
635|0.77003|0.22997
636|0.74616|0.25384
637|0.47266|0.52734
638|0.77438|0.22562
639|0.76427|0.23573
640|0.71175|0.28825
641|0.71596|0.28404
642|0.71475|0.28525
643|0.72227|0.27773
644|0.70745|0.29255
645|0.74872|0.25128
646|0.76854|0.23146
647|0.72674|0.27326
648|0.52414|0.47586
649|0.76398|0.23602
650|0.77344|0.22656
651|0.48989|0.51011
652|0.76292|0.23708
653|0.76892|0.23108
654|0.45851|0.54149
655|0.76815|0.23185
656|0.74418|0.25582
657|0.49789|0.50211
658|0.43953|0.56047
659|0.43953|0.56047
660|0.43953|0.56047
661|0.49554|0.50446
662|0.50793|0.49207
663|0.75947|0.24053
664|0.77464|0.22536
665|0.76815|0.23185
666|0.48515|0.51485
667|0.5309|0.4691
668|0.50628|0.49372
669|0.76884|0.23116
670|0.75734|0.24266
671|0.76855|0.23145
672|0.77463|0.22537
673|0.78154|0.21846
674|0.76911|0.23089
675|0.71505|0.28495
676|0.76965|0.23035
677|0.75531|0.24469
678|0.77003|0.22997
679|0.60145|0.39855
680|0.441|0.559
681|0.78246|0.21754
682|0.518|0.482
683|0.52871|0.47129
684|0.63284|0.36716
685|0.46518|0.53482
686|0.76608|0.23392
687|0.50358|0.49642
688|0.53767|0.46233
689|0.7686|0.2314
690|0.76965|0.23035
691|0.77438|0.22562
692|0.75955|0.24045
693|0.48452|0.51548
694|0.76304|0.23696
695|0.75347|0.24653
696|0.47533|0.52467
697|0.55547|0.44453
698|0.55401|0.44599
699|0.75558|0.24442
700|0.75955|0.24045
701|0.75558|0.24442
702|0.75558|0.24442
703|0.50701|0.49299
704|0.76417|0.23583
705|0.77463|0.22537
706|0.78518|0.21482
707|0.53807|0.46193
708|0.76965|0.23035
709|0.77002|0.22998
710|0.45726|0.54274
711|0.48893|0.51107
712|0.77438|0.22562
713|0.76774|0.23226
714|0.76417|0.23583
715|0.71505|0.28495
716|0.7736|0.2264
717|0.77074|0.22926
718|0.75146|0.24854
719|0.77667|0.22333
720|0.74829|0.25171
721|0.7651|0.2349
722|0.76038|0.23962
723|0.77344|0.22656
724|0.75398|0.24602
725|0.75442|0.24558
726|0.5049|0.4951
727|0.50203|0.49797
728|0.78065|0.21935
729|0.78781|0.21219
730|0.76076|0.23924
731|0.77003|0.22997
732|0.75856|0.24144
733|0.76668|0.23332
734|0.59322|0.40678
735|0.59179|0.40821
736|0.48626|0.51374
737|0.78171|0.21829
738|0.75734|0.24266
739|0.46858|0.53142
740|0.66318|0.33682
741|0.74946|0.25054
742|0.7658|0.2342
743|0.78227|0.21773
744|0.5344|0.4656
745|0.75734|0.24266
746|0.49895|0.50105
747|0.7631|0.2369
748|0.73864|0.26136
749|0.67103|0.32897
750|0.54413|0.45587
751|0.77003|0.22997
752|0.77003|0.22997
753|0.77087|0.22913
754|0.77463|0.22537
755|0.77087|0.22913
756|0.75558|0.24442
757|0.76167|0.23833
758|0.52604|0.47396
759|0.75065|0.24935
760|0.52826|0.47174
761|0.76779|0.23221
762|0.74192|0.25808
763|0.70104|0.29896
764|0.44292|0.55708
765|0.74616|0.25384
766|0.48626|0.51374
767|0.77464|0.22536
768|0.78993|0.21007
769|0.78555|0.21445
770|0.77344|0.22656
771|0.76427|0.23573
772|0.49036|0.50964
773|0.75558|0.24442
774|0.78781|0.21219
775|0.78781|0.21219
776|0.78154|0.21846
777|0.75442|0.24558
778|0.75734|0.24266
779|0.55401|0.44599
780|0.50627|0.49373
781|0.5344|0.4656
782|0.75513|0.24487
783|0.77818|0.22182
784|0.76965|0.23035
785|0.77528|0.22472
786|0.55547|0.44453
787|0.75531|0.24469
788|0.73525|0.26475
789|0.78304|0.21696
790|0.78154|0.21846
791|0.76046|0.23954
792|0.64195|0.35805
793|0.62399|0.37601
794|0.78304|0.21696
795|0.47798|0.52202
796|0.78154|0.21846
797|0.7938|0.2062
798|0.77778|0.22222
799|0.78414|0.21586
800|0.75431|0.24569
801|0.52944|0.47056
802|0.78065|0.21935
803|0.78154|0.21846
804|0.76455|0.23545
805|0.77998|0.22002
806|0.74332|0.25668
807|0.72857|0.27143
808|0.68296|0.31704
809|0.78443|0.21557
810|0.73043|0.26957
811|0.71527|0.28473
812|0.74355|0.25645
813|0.77998|0.22002
814|0.7888|0.2112
815|0.76305|0.23695
816|0.79588|0.20412
817|0.78182|0.21818
818|0.77463|0.22537
819|0.45459|0.54541
820|0.52427|0.47573
821|0.71183|0.28817
822|0.6431|0.3569
823|0.78299|0.21701
824|0.50237|0.49763
825|0.76524|0.23476
826|0.72849|0.27151
827|0.72731|0.27269
828|0.73462|0.26538
829|0.71843|0.28157
830|0.7219|0.2781
831|0.73462|0.26538
832|0.76295|0.23705
833|0.77025|0.22975
834|0.782|0.218
835|0.75923|0.24077
836|0.78993|0.21007
837|0.77692|0.22308
838|0.76442|0.23558
839|0.77359|0.22641
840|0.75703|0.24297
841|0.55547|0.44453
842|0.47781|0.52219
843|0.78127|0.21873
844|0.78127|0.21873
845|0.76553|0.23447
846|0.54695|0.45305
847|0.77692|0.22308
848|0.7658|0.2342
849|0.78844|0.21156
850|0.77464|0.22536
851|0.77463|0.22537
852|0.57442|0.42558
853|0.5749|0.4251
854|0.77344|0.22656
855|0.78154|0.21846
856|0.72241|0.27759
857|0.52944|0.47056
858|0.77344|0.22656
859|0.77426|0.22574
860|0.47911|0.52089
861|0.55547|0.44453
862|0.55547|0.44453
863|0.55547|0.44453
864|0.77464|0.22536
865|0.55547|0.44453
866|0.52944|0.47056
867|0.49308|0.50692
868|0.5494|0.4506
869|0.78667|0.21333
870|0.76609|0.23391
871|0.55547|0.44453
872|0.78065|0.21935
873|0.57754|0.42246
874|0.78667|0.21333
875|0.78993|0.21007
876|0.76474|0.23526
877|0.78993|0.21007
878|0.55547|0.44453
879|0.55547|0.44453
880|0.78993|0.21007
881|0.76504|0.23496
882|0.77344|0.22656
883|0.7888|0.2112
884|0.77692|0.22308
885|0.78781|0.21219
886|0.75431|0.24569
887|0.52944|0.47056
888|0.78993|0.21007
889|0.76427|0.23573
890|0.77344|0.22656
891|0.77344|0.22656
892|0.7655|0.2345
893|0.76395|0.23605
894|0.7736|0.2264
895|0.62441|0.37559
896|0.49308|0.50692
897|0.79276|0.20724
898|0.76427|0.23573
899|0.76896|0.23104
900|0.55547|0.44453
901|0.78584|0.21416
902|0.74507|0.25493
903|0.78584|0.21416
904|0.74507|0.25493
905|0.77463|0.22537
906|0.76518|0.23482
907|0.77464|0.22536
908|0.55871|0.44129
909|0.55547|0.44453
910|0.76518|0.23482
911|0.75431|0.24569
912|0.77463|0.22537
913|0.7736|0.2264
914|0.77344|0.22656
915|0.7655|0.2345
916|0.77344|0.22656
917|0.44599|0.55401
918|0.65933|0.34067
919|0.78154|0.21846
920|0.75419|0.24581
921|0.78065|0.21935
922|0.7888|0.2112
923|0.52944|0.47056
924|0.52944|0.47056
925|0.75672|0.24328
926|0.78781|0.21219
927|0.78065|0.21935
928|0.78878|0.21122
929|0.5388|0.4612
930|0.78065|0.21935
931|0.78065|0.21935
932|0.78065|0.21935
933|0.55547|0.44453
934|0.77464|0.22536
935|0.4906|0.5094
936|0.66812|0.33188
937|0.54575|0.45425
938|0.49308|0.50692
939|0.65207|0.34793
940|0.54269|0.45731
941|0.78182|0.21818
942|0.76581|0.23419
943|0.78154|0.21846
944|0.54269|0.45731
945|0.78993|0.21007
946|0.77426|0.22574
947|0.77426|0.22574
948|0.55281|0.44719
949|0.78065|0.21935
950|0.75817|0.24183
951|0.7736|0.2264
952|0.7724|0.2276
953|0.77344|0.22656
954|0.7658|0.2342
955|0.69474|0.30526
956|0.77164|0.22836
957|0.77164|0.22836
958|0.77164|0.22836
959|0.77249|0.22751
960|0.76518|0.23482
961|0.75642|0.24358
962|0.52389|0.47611
963|0.77417|0.22583
964|0.7711|0.2289
965|0.76463|0.23537
966|0.77463|0.22537
967|0.55547|0.44453
968|0.57442|0.42558
969|0.75614|0.24386
970|0.54548|0.45452
971|0.77692|0.22308
972|0.78182|0.21818
973|0.75817|0.24183
974|0.7888|0.2112
975|0.76447|0.23553
976|0.54695|0.45305
977|0.78993|0.21007
978|0.77335|0.22665
979|0.77464|0.22536
980|0.7864|0.2136
981|0.55547|0.44453
982|0.76395|0.23605
983|0.78993|0.21007
984|0.7888|0.2112
985|0.52944|0.47056
986|0.77344|0.22656
987|0.77344|0.22656
988|0.52944|0.47056
989|0.78065|0.21935
990|0.78993|0.21007
991|0.7736|0.2264
992|0.78154|0.21846
993|0.49367|0.50633
994|0.52676|0.47324
995|0.78154|0.21846
996|0.75672|0.24328
997|0.7655|0.2345
998|0.52805|0.47195
999|0.78182|0.21818
1000|0.52944|0.47056
1001|0.78065|0.21935
1002|0.53004|0.46996
1003|0.53004|0.46996
1004|0.77471|0.22529
1005|0.52944|0.47056
1006|0.77471|0.22529
1007|0.52944|0.47056
1008|0.4599|0.5401
1009|0.49411|0.50589
1010|0.78065|0.21935
1011|0.76553|0.23447
1012|0.53113|0.46887
1013|0.52944|0.47056
1014|0.57754|0.42246
1015|0.57754|0.42246
1016|0.78754|0.21246
1017|0.78065|0.21935
1018|0.77344|0.22656
1019|0.78993|0.21007
1020|0.77463|0.22537
1021|0.77463|0.22537
1022|0.77464|0.22536
1023|0.78993|0.21007
1024|0.52944|0.47056
1025|0.77344|0.22656
1026|0.62441|0.37559
1027|0.54941|0.45059
1028|0.78993|0.21007
1029|0.70888|0.29112
1030|0.77884|0.22116
1031|0.78182|0.21818
1032|0.7655|0.2345
1033|0.78065|0.21935
1034|0.7888|0.2112
1035|0.68068|0.31932
1036|0.68068|0.31932
1037|0.52389|0.47611
1038|0.52805|0.47195
1039|0.78993|0.21007
1040|0.52676|0.47324
1041|0.50701|0.49299
1042|0.78993|0.21007
1043|0.52389|0.47611
1044|0.52389|0.47611
1045|0.52389|0.47611
1046|0.75431|0.24569
1047|0.77463|0.22537
1048|0.45851|0.54149
1049|0.44518|0.55482
1050|0.66377|0.33623
1051|0.48571|0.51429
1052|0.7655|0.2345
1053|0.78993|0.21007
1054|0.78154|0.21846
1055|0.52944|0.47056
1056|0.78993|0.21007
1057|0.73059|0.26941
1058|0.4599|0.5401
1059|0.55401|0.44599
1060|0.77464|0.22536
1061|0.52914|0.47086
1062|0.55547|0.44453
1063|0.77463|0.22537
1064|0.78304|0.21696
1065|0.76847|0.23153
1066|0.77426|0.22574
1067|0.76581|0.23419
1068|0.55547|0.44453
1069|0.7864|0.2136
1070|0.77417|0.22583
1071|0.78182|0.21818
1072|0.52389|0.47611
1073|0.78065|0.21935
1074|0.78065|0.21935
1075|0.78065|0.21935
1076|0.77463|0.22537
1077|0.52944|0.47056
1078|0.52944|0.47056
1079|0.52944|0.47056
1080|0.55547|0.44453
1081|0.78065|0.21935
1082|0.52944|0.47056
1083|0.6242|0.3758
1084|0.76609|0.23391
1085|0.6924|0.3076
1086|0.7888|0.2112
1087|0.54226|0.45774
1088|0.77464|0.22536
1089|0.76395|0.23605
1090|0.77007|0.22993
1091|0.55547|0.44453
1092|0.55871|0.44129
1093|0.77692|0.22308
1094|0.74192|0.25808
1095|0.54226|0.45774
1096|0.52805|0.47195
1097|0.61767|0.38233
1098|0.61767|0.38233
1099|0.48939|0.51061
1100|0.48939|0.51061
1101|0.54548|0.45452
1102|0.64127|0.35873
1103|0.64127|0.35873
1104|0.64127|0.35873
1105|0.65207|0.34793
1106|0.64977|0.35023
1107|0.77025|0.22975
1108|0.77463|0.22537
1109|0.7698|0.2302
1110|0.78182|0.21818
1111|0.76518|0.23482
1112|0.62528|0.37472
1113|0.49308|0.50692
1114|0.55547|0.44453
1115|0.7888|0.2112
1116|0.7888|0.2112
1117|0.78993|0.21007
1118|0.77463|0.22537
1119|0.77464|0.22536
1120|0.77344|0.22656
1121|0.77344|0.22656
1122|0.68068|0.31932
1123|0.52407|0.47593
1124|0.52389|0.47611
1125|0.52944|0.47056
1126|0.77463|0.22537
1127|0.55547|0.44453
1128|0.76333|0.23667
1129|0.78993|0.21007
1130|0.77344|0.22656
1131|0.52914|0.47086
1132|0.76518|0.23482
1133|0.78993|0.21007
1134|0.75558|0.24442
1135|0.77463|0.22537
1136|0.78993|0.21007
1137|0.57754|0.42246
1138|0.78154|0.21846
1139|0.7888|0.2112
1140|0.7655|0.2345
1141|0.77463|0.22537
1142|0.63967|0.36033
1143|0.63272|0.36728
1144|0.63272|0.36728
1145|0.63272|0.36728
1146|0.63272|0.36728
1147|0.71402|0.28598
1148|0.75631|0.24369
1149|0.76427|0.23573
1150|0.52676|0.47324
1151|0.79588|0.20412
1152|0.58543|0.41457
1153|0.79354|0.20646
